metabolite,confidence,4399_20,4582_20,4582_22,4606_20,4625_20,4625_23,4660_20,4672_20,4686_20,4399_22,4606_23,4660_22,4672_23,4686_23,4333_20,4333_23,4575_20,4583_20,4626_20,4646_20,4666_20,4692_20,4583_22,4626_23,4646_23,4336_20,4579_20,4579_23,4584_20,4584_23,4611_20,4647_20,4668_20,4693_20,4336_23,4611_23,4647_22,4668_22,4693_22,4325_20,4325_23,4393_20,4393_23,4398_20,4502_20,4502_23,4556_20,4556_23,4563_20,4563_23,4605_20,4655_20,4658_20,4670_20,4678_20,4678_23,4679_20,4682_20,4398_22,4605_22,4655_23,4670_23,4679_22,4682_23
Hexanoic acid,7,290618.7813,354705.4063,323650.125,342955.7813,511676.5625,275553.75,366757.8438,306451.7188,260434.7344,339681.75,263506.3125,634547.5625,445425.625,362585.8438,390443.0938,239594.0156,326252.1875,433382.125,435585.9063,343722.625,402592.5625,774379.8125,1021952.438,304308.5,451583.5625,310156,309881.7813,149480.0781,452421.2188,214972.4531,337294.5313,448627.4063,207262.0625,287612.5,271451.5,270198.9688,225243.625,244750.8125,350517,401539.9063,315011.5,479587.5,254355,318148.7188,265269.1563,262645.75,347335.1563,263775.875,407911.375,342911.2188,413808,265616.3438,316522.125,309093.5313,422871.375,343155.8438,287189.5938,405040.7188,238131.0781,377248.1563,288728.3125,401683.5625,1362504.25,223395.1875
Hippurate,4,119031.6406,15472.46875,10850.625,50236.27344,50487.60547,81387.96094,26329.73242,20835.2793,142459.3281,18115.78125,46833.875,27211.21875,8441.428711,12006.82227,111212.1172,34120.07422,32343.875,46800.98047,14186.10742,27549.82031,43433.51953,71655.44531,19935.82031,23080.71875,13321.22754,44418.71875,26647.00977,62303.29688,51096.23828,105088.7578,26134.29883,29247.91211,16409.46875,10515.48633,21406.10156,32127.77344,19908.77734,11272.92871,8351.111328,25090.45898,10364.50781,18877.92773,29287.49219,36670.02734,8681.800781,11961.2627,28033.41797,27390.15625,30051.5918,25624.11328,36904.23828,22338.12891,50450.82031,14877.69824,13969.55176,27430.99219,14368.66699,45868.33984,32419.23242,15484.82813,10617.6709,36312.67578,31022.81445,105370.3594
His-Lys-Phe-Val,3,85723.27344,46562.67969,36159.55469,163816.1406,65906.24219,44345.44922,139448.8438,134247.8906,73466.10156,61588.85547,61954.39844,65428.58984,35146.8125,25056.63086,160327.3125,36148.10156,92638.64844,62741.49219,173904.4844,130421.7188,92294.96094,108278.8359,36845.71094,66658.88281,45761.55469,86658.80469,172162.3906,19611.83594,141426.3438,64793.15625,124910.1328,170019.1875,127674.4922,46229.58984,77094.02344,77765.17188,54111.41406,45063.60547,78678.98438,78066.20313,12277.97266,52294.55078,43865.64453,127998.1484,43961.46875,53478.31641,82797.98438,18802.56641,113288.8828,17985.41992,77072.5625,78742.80469,121946.375,78704.125,122698.75,83700.92188,78545.98438,105333.3672,66981.61719,64758.01563,98186.58594,62655.57031,31986.96289,67122.24219
Homoarginine,6,56611.46875,53797.75391,73879.67969,184871.0469,131219.1406,100156.6094,116296.9844,82432.63281,35081.68359,92669.92969,93579.45313,99332.75781,72828.74219,45946.41016,194181.9531,81175.21094,177645.0313,59273.87109,112383.9141,125685.4844,49143.35547,63324.20703,79962.38281,167871.2344,80438.71094,242573.125,190790.0625,101733.4141,80105.38281,224276.0781,149273.7656,113767.1328,86214.07813,91218.46094,72727.76563,87325.05469,110414.3438,31688.99414,87446.25781,187242.8906,65170.57422,65111.97656,128110.6953,48449.82422,19806.63477,45890.56641,94918.1875,54162.5,42915.125,111430.5938,85462.53906,41325.53516,179779.3438,76586.96094,92233.20313,105785.8984,19394.27734,71578.23438,81802.65625,87823.91406,95483.33594,99082.17969,98843.84375,92830.32031
Homocarnosine,8,436705.3125,217894.5625,413186.5625,90011.75,498689.125,356229.7188,711588.6875,419647.6875,307128.7813,742365,290809.1563,1197350.375,362856.5625,514432.8125,293749,270504.5625,270236.0313,375384.4688,576715.5,333330.9063,1238108.625,788391.8125,738781.8125,924313.8125,778709.375,359447.9688,173619.4375,369189.75,476459.0313,778771.3125,191289.9063,415512.4375,352948.2813,150246.9844,627823.9375,402456.4063,693590.1875,498039.2188,487968.5625,447453.7188,265498.9063,388884.7813,615218.375,909258.6875,594503.3125,799104.3125,345878.5625,333884.5625,605185.6875,611521.875,553034.375,466122.9375,759827.6875,479900.9375,1612633.125,740654.8125,162364.9063,636954.875,1388753.25,1080339,897330.5625,800719.1875,716275.375,777262.875
Homocysteinesulfinicacid,5,45491.36719,205869.2813,101184.7422,43778.20313,133935.8906,78575.33594,88448.02344,114094.3125,51756.5,67608.07813,170865.875,85172.08594,103175.6406,116053.6328,114575.6094,42311.08203,108606.0859,17177.03711,86684.42969,26861.05469,62759.66016,49327.86328,79116.96094,88298.32813,69819.71875,67309.98438,43967.80469,124391.4063,63954.45313,99724.89063,58951.96875,149427.4219,32753.7793,24503.25391,122323.3281,101938.5703,51026.94531,52636.52344,116900.4688,117580.5547,115089.3203,74510.4375,140042.1094,34846.96484,23410.89063,68837.92188,79032.66406,59690.72266,47211.60156,70909.03906,65049.03125,56897.39844,39597.6875,58505.45313,91614.82031,33973.55469,39487.25391,35502.00781,112505.7031,133788.3906,92060.5625,99822.07031,217826.7813,235000.2031
Homogentisate,6,17631.49023,30151.08984,7738.904785,33916.95703,32015.30273,13907.03125,24845.40039,23300.11328,11697.2207,10071.14453,8187.239746,15547.10352,3017.266113,9645.363281,20754.91211,6479.054688,25433.71094,23506.36523,29022.51758,18334.98828,13030.64648,10396.00879,14661.11523,8971.181641,6552.343262,34656.41016,31584.06445,6948.066406,14062.61133,9017.421875,28490.60352,18477.84766,9931.307617,8102.525879,12347.69922,8905.956055,6445.03125,6142.733887,8720.28125,40772.96094,8345.114258,12852.18652,11620.40527,22043.9707,16285.61328,10158.7334,37280.26563,7038.025879,24181.05273,15719.58203,27389.77148,15047.49609,18890.18164,25154.75977,18412.99609,14744.15332,26064.49414,16318.11133,12025.59277,11884.68848,11727.77539,8381.391602,5699.374023,13753.56348
Homostachydrine,7,713431.0625,496630.9688,322706.5938,1751694.5,2202689.75,1685967.375,930456.125,3817371.5,1798569.125,743895.3125,936818.75,683730.875,1885299,2058830.875,1915440.375,854372,961758.75,389575.4063,832756.1875,2430801.5,547915.5,539726.3125,450083,666685,2353138.25,2982491.25,883876.3125,666523.5625,353905.9688,375781.4688,1274123.625,2109761.5,770792.8125,1501556.5,1171225.625,934293.0625,1097248,490357.75,1680794.125,1167125.375,698978.3125,414617.6563,475767.5,431444.2813,194021.2031,240312.6094,558833.875,451113.8125,703658.75,609482.1875,559351.0625,1237246.375,1831823,2796393.75,1782103.25,1232115.125,651015.75,2389154,600755.6875,677634.9375,951152,2555871,911128.375,1606654.75
Hydantoin-5-propionate,8,6012.451172,5471.104004,4466.585938,8164.796387,13496.87891,9997.746094,2945.802002,9830.267578,4167.667969,1452.318726,1982.94104,1283.305054,1030.688843,795.8831177,4577.875977,1958.228027,5910.731934,5523.662109,8678.9375,4212.25293,4273.712891,2142.128418,0,2549.55127,2348.327393,5225.407715,5055.873535,3057.235596,1667.376099,3096.209961,6610.013184,8306.952148,1923.76355,2183.141602,2713.521973,2875.080811,2941.90332,1005.974487,1259.82373,15504.39941,3642.605225,5536.310547,4626.242676,5039.04834,1696.570923,7367.157715,9783.618164,4960.158691,6600.325195,7446.687988,5896.573242,7253.687012,6169.990723,12462.28223,5881.858398,10410.49512,3683.109375,5119.748047,1296.049072,1434.22168,860.2008057,2197.901367,1548.850952,1209.61731
hydrogen iodide,7,79546.35938,8504.098633,11803.65332,319032.6563,621309.5625,130883.7109,39354.54688,110368.0703,42960.21875,107586.2109,37436.125,38818.04688,85766.375,50541.91797,51033.04297,78855.80469,15588.13867,14923.17871,19327.11914,22547.24805,46053.13672,18043.88086,127581.6406,145874.4375,15555.22461,109897.2344,79750.67188,95116.14844,114640.3359,1638200.125,185081.4531,15151.8584,23849.01367,11447.27246,60451.80078,32209.14844,51359.6875,22418.7793,24792.11133,110163.75,109201.9063,11677.90234,37547.01172,84532.38281,23595.72266,536388.5625,175609.375,119909.0625,38770.38281,96858.04688,102629.7031,96902.83594,84262.84375,176916.8281,42101.97656,76211.75781,76355.13281,136747.5313,96591.07031,264780.5938,54830.35156,359578.5625,98444.03125,1133239.25
